

NUB,nuBibeln (Swedish Contemporary Bible) (NUB)
SV1917,Svenska 1917 (SV1917)
SFB,Svenska Folkbibeln (SFB)
SFB15,Svenska Folkbibeln 2015 (SFB15)
SVL,Swedish New Living Bible (Nya Levande Bibeln) (SVL)
TKU,Agano Jipya: Tafsiri ya Kusoma-Kwa-Urahisi (TKU)
SNT,Neno: Bibilia Takatifu (SNT)
ERV-TA,Tamil Bible: Easy-to-Read Version (ERV-TA)
NTV-BIBLE,New Thai Version (NTV-BIBLE)
ERV-TH,Thai New Testament: Easy-to-Read Version (ERV-TH)
TNCV,Thai New Contemporary Bible (TNCV)
FSV,Ang Bagong Tipan: Filipino Standard Version (FSV)
ABTAG1978,Ang Biblia (1978) (ABTAG1978)
ABTAG2001,Ang Biblia: 2001 (ABTAG2001)
ADB1905,Ang Dating Biblia (1905) (ADB1905)
SND,Ang Salita ng Diyos (SND)
ASND,Ang Salita ng Dios (Tagalog Contemporary Bible) (ASND)
MBBTAG,Magandang Balita Biblia (MBBTAG)
MBBTAG-DC,Magandang Balita Biblia (with Deuterocanon) (MBBTAG-DC)
NA-TWI,Nkwa Asem (NA-TWI)
UKR,Ukrainian Bible (UKR)
ERV-UK,Ukrainian New Testament: Easy-to-Read Version (ERV-UK)
ERV-UR,Urdu Bible: Easy-to-Read Version (ERV-UR)
USP,Uspanteco (USP)
BD2011,Bản Dịch 2011 (BD2011)
NVB,New Vietnamese Bible (NVB)
BPT,Vietnamese Bible: Easy-to-Read Version (BPT)
BYO,Bíbélì Mímọ́ Yorùbá Òde Òn (BYO)
CCB,Chinese Contemporary Bible (Simplified) (CCB)
CCBT,Chinese Contemporary Bible (Traditional) (CCBT)
ERV-ZH,Chinese New Testament: Easy-to-Read Version (ERV-ZH)
CNVS,Chinese New Version (Simplified) (CNVS)
CNVT,Chinese New Version (Traditional) (CNVT)
CSBS,Chinese Standard Bible (Simplified) (CSBS)
CSBT,Chinese Standard Bible (Traditional) (CSBT)
CUVS,Chinese Union Version (Simplified) (CUVS)
CUV,Chinese Union Version (Traditional) (CUV)
CUVMPS,Chinese Union Version Modern Punctuation (Simplified) (CUVMPS)
CUVMPT,Chinese Union Version Modern Punctuation (Traditional) (CUVMPT)
RCU17SS,Revised Chinese Union Version (Simplified Script) Shen Edition (RCU17SS)
RCU17TS,Revised Chinese Union Version (Traditional Script) Shen Edition (RCU17TS)
